ön	/ön+Adj
öncesi	/ön+Adj^DB+Adj+AsIf^DB+Adj+JustLike /ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3sg+P3sg+Nom /önce+Noun^DB+Adj+Almost /önce+Noun+A3sg+P3sg+Nom /önce+Postp+PCAbl^DB+Noun+Zero^DB+Adj+Almost /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+P3sg+Nom
öncesi	/ön+Adj^DB+Adj+AsIf^DB+Adj+JustLike /ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3sg+P3sg+Nom /önce+Noun^DB+Adj+Almost /önce+Noun+A3sg+P3sg+Nom /önce+Postp+PCAbl^DB+Noun+Zero^DB+Adj+Almost /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+P3sg+Nom
beraber	/beraber+Adverb /beraber+Adj /beraber+Postp+PCIns
sonraki	/sonra+Noun+A3sg+Pnon+Nom^DB+Adj+Rel /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel
öncesinde	/ön+Adj^DB+Adj+AsIf^DB+Adj+JustLike^DB+Noun+Zero+A3sg+P2sg+Loc /ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3sg+P3sg+Loc /önce+Noun+A3sg+P3sg+Loc /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+P3sg+Loc
takdirde	/takdirde+Postp+PCNom /takdir+Noun+A3sg+Pnon+Loc
önceden	/ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3sg+Pnon+Abl /önceden+Adverb /önce+Noun+A3sg+Pnon+Abl /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Abl
berabere	/berabere+Adverb /beraber+Adj^DB+Noun+Zero+A3sg+Pnon+Dat /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Dat
dek	/dek+Postp+PCDat /dek+Noun+A3sg+Pnon+Nom
beraberlik	/beraber+Adj^DB+Noun+Ness+A3sg+Pnon+Nom /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+FitFor /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Nom
beraberlik	/beraber+Adj^DB+Noun+Ness+A3sg+Pnon+Nom /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+FitFor /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Nom
ötürü	/ötürü+Postp+PCAbl
beraberinde	/beraber+Adj^DB+Noun+Zero+A3sg+P3sg+Loc /beraber+Adj^DB+Noun+Zero+A3sg+P2sg+Loc /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+P3sg+Loc /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+P2sg+Loc
beraberinde	/beraber+Adj^DB+Noun+Zero+A3sg+P3sg+Loc /beraber+Adj^DB+Noun+Zero+A3sg+P2sg+Loc /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+P3sg+Loc /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+P2sg+Loc
evvel	/evvel+Noun+A3sg+Pnon+Nom /evvel+Postp+PCAbl
kala	/kal+Verb+Pos+Opt+A3sg /kala+Noun+A3sg+Pnon+Nom /kala+Postp+PCNom
sonradan	/sonradan+Adverb /sonra+Noun+A3sg+Pnon+Abl /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Abl
ötesinde	/öt+Verb+Pos^DB+Noun+FeelLike+A3sg+P2sg+Loc /öte+Noun+A3sg+P3sg+Loc /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+P3sg+Loc
gibidir	/gibi+Postp+PCNom^DB+Verb+Zero+Pres+Cop+A3sg
daire	/dair+Postp+PCDat^DB+Noun+Zero+A3sg+Pnon+Dat /daire+Noun+A3sg+Pnon+Nom
öteki	/öte+Noun+A3sg+Pnon+Nom^DB+Adj+Rel /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel
öte	/öt+Verb+Pos+Opt+A3sg /öte+Noun+A3sg+Pnon+Dat /öte+Noun+A3sg+Pnon+Nom /öte+Postp+PCAbl
çoktan	/çok+Adj^DB+Noun+Zero+A3sg+Pnon+Abl /çok+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Abl
öncesine	/ön+Noun+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+AsIf /ön+Adj^DB+Adj+AsIf^DB+Adj+JustLike^DB+Noun+Zero+A3sg+P2sg+Dat /ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3sg+P3sg+Dat /önce+Noun+A3sg+P3sg+Dat /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+P3sg+Dat
içindir	/iç+Noun+A3sg+P2sg+Nom^DB+Verb+Zero+Pres+Cop+A3sg /iç+Noun+A3sg+Pnon+Gen^DB+Verb+Zero+Pres+Cop+A3sg /için+Postp+PCNom^DB+Verb+Zero+Pres+Cop+A3sg
aittir	/ait+Postp+PCDat^DB+Verb+Zero+Pres+Cop+A3sg
yanan	/yan+Verb+Pos^DB+Adj+PresPart /yana+Postp+PCAbl^DB+Noun+Zero+A3sg+P2sg+Nom
ötesi	/öt+Verb+Pos^DB+Adj+FeelLike /öt+Verb+Pos^DB+Noun+FeelLike+A3sg+Pnon+Nom /öte+Noun^DB+Adj+Almost /öte+Noun+A3sg+P3sg+Nom /öte+Postp+PCAbl^DB+Noun+Zero^DB+Adj+Almost /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+P3sg+Nom
ötesi	/öt+Verb+Pos^DB+Adj+FeelLike /öt+Verb+Pos^DB+Noun+FeelLike+A3sg+Pnon+Nom /öte+Noun^DB+Adj+Almost /öte+Noun+A3sg+P3sg+Nom /öte+Postp+PCAbl^DB+Noun+Zero^DB+Adj+Almost /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+P3sg+Nom
beraberindeki	/beraber+Adj^DB+Noun+Zero+A3sg+P3sg+Loc^DB+Adj+Rel /beraber+Adj^DB+Noun+Zero+A3sg+P2sg+Loc^DB+Adj+Rel /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+P3sg+Loc^DB+Adj+Rel /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+P2sg+Loc^DB+Adj+Rel
beraberindeki	/beraber+Adj^DB+Noun+Zero+A3sg+P3sg+Loc^DB+Adj+Rel /beraber+Adj^DB+Noun+Zero+A3sg+P2sg+Loc^DB+Adj+Rel /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+P3sg+Loc^DB+Adj+Rel /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+P2sg+Loc^DB+Adj+Rel
hitaben	/hitaben+Postp+PCDat /hitabe+Noun+A3sg+P2sg+Nom
gibiydi	/gibi+Postp+PCNom^DB+Verb+Zero+Past+A3sg
öteye	/öte+Noun+A3sg+Pnon+Dat /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Dat
ötesine	/öt+Verb+Pos^DB+Noun+FeelLike+A3sg+P2sg+Dat /öte+Noun+A3sg+P3sg+Dat /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+P3sg+Dat
aza	/az+Adj^DB+Noun+Zero+A3sg+Pnon+Dat /az+Verb+Pos+Opt+A3sg /az+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Dat /aza+Noun+A3sg+Pnon+Nom
nazaran	/nazaran+Postp+PCDat
öncesinden	/ön+Adj^DB+Adj+AsIf^DB+Adj+JustLike^DB+Noun+Zero+A3sg+P2sg+Abl /ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3sg+P3sg+Abl /önce+Noun+A3sg+P3sg+Abl /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+P3sg+Abl
içinse	/iç+Noun+A3sg+P2sg+Nom^DB+Verb+Zero+Cond+A3sg /iç+Noun+A3sg+Pnon+Gen^DB+Verb+Zero+Cond+A3sg /için+Postp+PCNom^DB+Verb+Zero+Cond+A3sg
önceleri	/ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3pl+P3pl+Nom /ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3pl+P3sg+Nom /ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3pl+Pnon+Acc /ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3sg+P3pl+Nom /önce+Noun+A3pl+P3sg+Nom /önce+Noun+A3pl+Pnon+Acc /önce+Noun+A3pl+P3pl+Nom /önce+Noun+A3sg+P3pl+Nom /önce+Postp+PCAbl^DB+Noun+Zero+A3pl+P3sg+Nom /önce+Postp+PCAbl^DB+Noun+Zero+A3pl+Pnon+Acc /önce+Postp+PCAbl^DB+Noun+Zero+A3pl+P3pl+Nom /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+P3pl+Nom /önceleri+Adverb /öncele+Verb+Pos+Aor^DB+Adj+Zero^DB+Noun+Zero+A3sg+P3sg+Nom
önceleri	/ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3pl+P3pl+Nom /ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3pl+P3sg+Nom /ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3pl+Pnon+Acc /ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3sg+P3pl+Nom /önce+Noun+A3pl+P3sg+Nom /önce+Noun+A3pl+Pnon+Acc /önce+Noun+A3pl+P3pl+Nom /önce+Noun+A3sg+P3pl+Nom /önce+Postp+PCAbl^DB+Noun+Zero+A3pl+P3sg+Nom /önce+Postp+PCAbl^DB+Noun+Zero+A3pl+Pnon+Acc /önce+Postp+PCAbl^DB+Noun+Zero+A3pl+P3pl+Nom /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+P3pl+Nom /önceleri+Adverb /öncele+Verb+Pos+Aor^DB+Adj+Zero^DB+Noun+Zero+A3sg+P3sg+Nom
önceleri	/ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3pl+P3pl+Nom /ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3pl+P3sg+Nom /ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3pl+Pnon+Acc /ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3sg+P3pl+Nom /önce+Noun+A3pl+P3sg+Nom /önce+Noun+A3pl+Pnon+Acc /önce+Noun+A3pl+P3pl+Nom /önce+Noun+A3sg+P3pl+Nom /önce+Postp+PCAbl^DB+Noun+Zero+A3pl+P3sg+Nom /önce+Postp+PCAbl^DB+Noun+Zero+A3pl+Pnon+Acc /önce+Postp+PCAbl^DB+Noun+Zero+A3pl+P3pl+Nom /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+P3pl+Nom /önceleri+Adverb /öncele+Verb+Pos+Aor^DB+Adj+Zero^DB+Noun+Zero+A3sg+P3sg+Nom
önceleri	/ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3pl+P3pl+Nom /ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3pl+P3sg+Nom /ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3pl+Pnon+Acc /ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3sg+P3pl+Nom /önce+Noun+A3pl+P3sg+Nom /önce+Noun+A3pl+Pnon+Acc /önce+Noun+A3pl+P3pl+Nom /önce+Noun+A3sg+P3pl+Nom /önce+Postp+PCAbl^DB+Noun+Zero+A3pl+P3sg+Nom /önce+Postp+PCAbl^DB+Noun+Zero+A3pl+Pnon+Acc /önce+Postp+PCAbl^DB+Noun+Zero+A3pl+P3pl+Nom /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+P3pl+Nom /önceleri+Adverb /öncele+Verb+Pos+Aor^DB+Adj+Zero^DB+Noun+Zero+A3sg+P3sg+Nom
takiben	/takiben+Postp+PCAcc
kadarki	/kadar+Postp+PCDat^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel
fazlaca	/fazla+Adj^DB+Adverb+Ly /fazla+Adj^DB+Adj+AsIf /fazla+Adj^DB+Noun+Zero+A3sg+Pnon+Equ /fazla+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Equ
istinaden	/istinaden+Postp+PCDat
gibisiniz	/gibi+Postp+PCNom^DB+Verb+Zero+Pres+A2pl
beraberindekiler	/beraber+Adj^DB+Noun+Zero+A3sg+P3sg+Loc^DB+Adj+Rel^DB+Noun+Zero+A3pl+Pnon+Nom /beraber+Adj^DB+Noun+Zero+A3sg+P2sg+Loc^DB+Adj+Rel^DB+Noun+Zero+A3pl+Pnon+Nom /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+P3sg+Loc^DB+Adj+Rel^DB+Noun+Zero+A3pl+Pnon+Nom /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+P2sg+Loc^DB+Adj+Rel^DB+Noun+Zero+A3pl+Pnon+Nom
beraberindekiler	/beraber+Adj^DB+Noun+Zero+A3sg+P3sg+Loc^DB+Adj+Rel^DB+Noun+Zero+A3pl+Pnon+Nom /beraber+Adj^DB+Noun+Zero+A3sg+P2sg+Loc^DB+Adj+Rel^DB+Noun+Zero+A3pl+Pnon+Nom /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+P3sg+Loc^DB+Adj+Rel^DB+Noun+Zero+A3pl+Pnon+Nom /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+P2sg+Loc^DB+Adj+Rel^DB+Noun+Zero+A3pl+Pnon+Nom
beraberlikle	/beraber+Adj^DB+Noun+Ness+A3sg+Pnon+Ins /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Ins
ilaveten	/ilaveten+Postp+PCDat
çokça	/çok+Adj^DB+Adverb+Ly /çok+Adj^DB+Adj+AsIf /çok+Adj^DB+Noun+Zero+A3sg+Pnon+Equ /çok+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Equ /çokça+Adverb
sonrada	/sonra+Noun+A3sg+Pnon+Loc /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Loc
öteden	/öte+Noun+A3sg+Pnon+Abl /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Abl
yöneliktir	/yönelik+Postp+PCDat^DB+Verb+Zero+Pres+Cop+A3sg
mukabil	/mukabil+Adj /mukabil+Postp+PCDat
fazladan	/fazladan+Adverb /fazla+Adj^DB+Noun+Zero+A3sg+Pnon+Abl /fazla+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Abl
çoktur	/çok+Adj^DB+Verb+Zero+Pres+Cop+A3sg /çok+Postp+PCAbl^DB+Verb+Zero+Pres+Cop+A3sg
beraberiz	/beraber+Adj^DB+Verb+Zero+Pres+A1pl /beraber+Postp+PCIns^DB+Verb+Zero+Pres+A1pl
öncesindeki	/ön+Adj^DB+Adj+AsIf^DB+Adj+JustLike^DB+Noun+Zero+A3sg+P2sg+Loc^DB+Adj+Rel /ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3sg+P3sg+Loc^DB+Adj+Rel /önce+Noun+A3sg+P3sg+Loc^DB+Adj+Rel /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+P3sg+Loc^DB+Adj+Rel
önceydi	/ön+Adj^DB+Adj+AsIf^DB+Verb+Zero+Past+A3sg /önce+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg /önce+Postp+PCAbl^DB+Verb+Zero+Past+A3sg /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
önceydi	/ön+Adj^DB+Adj+AsIf^DB+Verb+Zero+Past+A3sg /önce+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg /önce+Postp+PCAbl^DB+Verb+Zero+Past+A3sg /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
üzereyken	/üzere+Postp+PCNom^DB+Verb+Zero^DB+Adverb+While
binaen	/binaen+Postp+PCDat
beraberce	/beraberce+Adverb /beraber+Adj^DB+Adverb+Ly /beraber+Adj^DB+Adj+AsIf /beraber+Adj^DB+Noun+Zero+A3sg+Pnon+Equ /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Equ
öncesinin	/ön+Adj^DB+Adj+AsIf^DB+Adj+JustLike^DB+Noun+Zero+A3sg+Pnon+Gen /ön+Adj^DB+Adj+AsIf^DB+Adj+JustLike^DB+Noun+Zero+A3sg+P2sg+Gen /ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3sg+P3sg+Gen /önce+Noun+A3sg+P3sg+Gen /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+P3sg+Gen
diyeyim	/diye+Postp+PCNom^DB+Verb+Zero+Pres+A1sg /de+Verb+Pos+Opt+A1sg
sonraya	/sonra+Noun+A3sg+Pnon+Dat /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Dat
evvelki	/evvel+Noun+A3sg+Pnon+Nom^DB+Adj+Rel /evvel+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel
öncede	/ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3sg+Pnon+Loc /önce+Noun+A3sg+Pnon+Loc /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Loc
birlikteyken	/birlikte+Postp+PCIns^DB+Verb+Zero^DB+Adverb+While /birlik+Noun+A3sg+Pnon+Loc^DB+Verb+Zero^DB+Adverb+While /bir+Adj^DB+Noun+Ness+A3sg+Pnon+Loc^DB+Verb+Zero^DB+Adverb+While /bir+Num+Card^DB+Noun+Ness+A3sg+Pnon+Loc^DB+Verb+Zero^DB+Adverb+While
ötede	/öte+Noun+A3sg+Pnon+Loc /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Loc
gibiler	/gibi+Postp+PCNom^DB+Verb+Zero+Pres+A3pl /gibi+Postp+PCNom^DB+Noun+Zero+A3pl+Pnon+Nom
gibiler	/gibi+Postp+PCNom^DB+Verb+Zero+Pres+A3pl /gibi+Postp+PCNom^DB+Noun+Zero+A3pl+Pnon+Nom
atfen	/atfen+Postp+PCDat
yanaysa	/yan+Noun+A3sg+Pnon+Dat^DB+Verb+Zero+Cond+A3sg /yana+Postp+PCAbl^DB+Verb+Zero+Cond+A3sg /yana+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero+Cond+A3sg /yanay+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Cond+A3sg
yanaysa	/yan+Noun+A3sg+Pnon+Dat^DB+Verb+Zero+Cond+A3sg /yana+Postp+PCAbl^DB+Verb+Zero+Cond+A3sg /yana+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero+Cond+A3sg /yanay+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Cond+A3sg
üzeresiniz	/üzere+Postp+PCNom^DB+Verb+Zero+Pres+A2pl
aitti	/ait+Postp+PCDat^DB+Verb+Zero+Past+A3sg
gibiyim	/gibi+Postp+PCNom^DB+Verb+Zero+Pres+A1sg
gibiyimdir	/gibi+Postp+PCNom^DB+Verb+Zero+Pres+A1sg+Cop
ötekine	/öte+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+Pnon+Dat /öte+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P2sg+Dat /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+Pnon+Dat /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P2sg+Dat
ötekine	/öte+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+Pnon+Dat /öte+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P2sg+Dat /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+Pnon+Dat /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P2sg+Dat
önceye	/ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3sg+Pnon+Dat /önce+Noun+A3sg+Pnon+Dat /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Dat
üzeredir	/üzere+Postp+PCNom^DB+Verb+Zero+Pres+Cop+A3sg
gibiyiz	/gibi+Postp+PCNom^DB+Verb+Zero+Pres+A1pl
içindi	/iç+Noun+A3sg+P2sg+Nom^DB+Verb+Zero+Past+A3sg /iç+Noun+A3sg+Pnon+Gen^DB+Verb+Zero+Past+A3sg /için+Postp+PCNom^DB+Verb+Zero+Past+A3sg
müteakiben	/müteakiben+Postp+PCAcc
gibisinden	/gibi+Postp+PCNom^DB+Noun+Zero+A3sg+P3sg+Abl
ötesindeki	/öt+Verb+Pos^DB+Noun+FeelLike+A3sg+P2sg+Loc^DB+Adj+Rel /öte+Noun+A3sg+P3sg+Loc^DB+Adj+Rel /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+P3sg+Loc^DB+Adj+Rel
kadarla	/kadar+Noun+A3sg+Pnon+Ins /kadar+Postp+PCDat^DB+Noun+Zero+A3sg+Pnon+Ins
öncesini	/ön+Adj^DB+Adj+AsIf^DB+Adj+JustLike^DB+Noun+Zero+A3sg+P2sg+Acc /ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3sg+P3sg+Acc /önce+Noun+A3sg+P3sg+Acc /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+P3sg+Acc
evvelce	/evvelce+Adverb /evvel+Noun+A3sg+Pnon+Equ /evvel+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Equ
ötekinin	/öte+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+Pnon+Gen /öte+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P2sg+Gen /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+Pnon+Gen /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P2sg+Gen
ötekinin	/öte+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+Pnon+Gen /öte+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P2sg+Gen /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+Pnon+Gen /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P2sg+Gen
ötesini	/öt+Verb+Pos^DB+Noun+FeelLike+A3sg+P2sg+Acc /öte+Noun+A3sg+P3sg+Acc /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+P3sg+Acc
ötekiler	/öte+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+Pnon+Nom /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+Pnon+Nom
üzereydi	/üzere+Postp+PCNom^DB+Verb+Zero+Past+A3sg
beridir	/beri+Noun+A3sg+Pnon+Nom^DB+Adverb+Since /beri+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+Cop+A3sg /beri+Postp+PCAbl^DB+Verb+Zero+Pres+Cop+A3sg /beri+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adverb+Since /beri+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+Cop+A3sg
beridir	/beri+Noun+A3sg+Pnon+Nom^DB+Adverb+Since /beri+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+Cop+A3sg /beri+Postp+PCAbl^DB+Verb+Zero+Pres+Cop+A3sg /beri+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adverb+Since /beri+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+Cop+A3sg
